Date,Year,Month,Hour,Holiday,WeekDay,WorkingDay,Rider_Type(Qty),Riders(Qty)
1/1/2022,2022,1,0,0,0,0,casual,5
1/1/2022,2022,1,1,0,0,0,casual,15
1/1/2022,2022,1,2,0,0,0,casual,16
1/1/2022,2022,1,3,0,0,0,casual,11
1/1/2022,2022,1,4,0,0,0,casual,0
1/1/2022,2022,1,5,0,0,0,casual,0
1/1/2022,2022,1,6,0,0,0,casual,1
1/1/2022,2022,1,7,0,0,0,casual,1
1/1/2022,2022,1,8,0,0,0,casual,4
1/1/2022,2022,1,9,0,0,0,casual,13
1/1/2022,2022,1,10,0,0,0,casual,18
1/1/2022,2022,1,11,0,0,0,casual,40
1/1/2022,2022,1,12,0,0,0,casual,58
1/1/2022,2022,1,13,0,0,0,casual,82
1/1/2022,2022,1,14,0,0,0,casual,120
1/1/2022,2022,1,15,0,0,0,casual,101
1/1/2022,2022,1,16,0,0,0,casual,68
1/1/2022,2022,1,17,0,0,0,casual,36
1/1/2022,2022,1,18,0,0,0,casual,25
1/1/2022,2022,1,19,0,0,0,casual,20
1/1/2022,2022,1,20,0,0,0,casual,25
1/1/2022,2022,1,21,0,0,0,casual,10
1/1/2022,2022,1,22,0,0,0,casual,13
1/1/2022,2022,1,23,0,0,0,casual,4
2/1/2022,2022,1,0,0,1,0,casual,8
2/1/2022,2022,1,1,0,1,0,casual,1
2/1/2022,2022,1,2,0,1,0,casual,1
2/1/2022,2022,1,4,0,1,0,casual,0
2/1/2022,2022,1,5,0,1,0,casual,1
2/1/2022,2022,1,6,0,1,0,casual,0
2/1/2022,2022,1,7,0,1,0,casual,0
2/1/2022,2022,1,8,0,1,0,casual,2
2/1/2022,2022,1,9,0,1,0,casual,15
2/1/2022,2022,1,10,0,1,0,casual,20
2/1/2022,2022,1,11,0,1,0,casual,33
2/1/2022,2022,1,12,0,1,0,casual,41
2/1/2022,2022,1,13,0,1,0,casual,26
2/1/2022,2022,1,14,0,1,0,casual,10
2/1/2022,2022,1,15,0,1,0,casual,29
2/1/2022,2022,1,16,0,1,0,casual,10
2/1/2022,2022,1,17,0,1,0,casual,17
2/1/2022,2022,1,18,0,1,0,casual,13
2/1/2022,2022,1,19,0,1,0,casual,4
2/1/2022,2022,1,20,0,1,0,casual,5
2/1/2022,2022,1,21,0,1,0,casual,3
2/1/2022,2022,1,22,0,1,0,casual,3
2/1/2022,2022,1,23,0,1,0,casual,2
3/1/2022,2022,1,0,0,2,1,casual,0
3/1/2022,2022,1,1,0,2,1,casual,1
3/1/2022,2022,1,2,0,2,1,casual,0
3/1/2022,2022,1,3,0,2,1,casual,0
3/1/2022,2022,1,4,0,2,1,casual,0
3/1/2022,2022,1,5,0,2,1,casual,0
3/1/2022,2022,1,6,0,2,1,casual,4
3/1/2022,2022,1,7,0,2,1,casual,2
3/1/2022,2022,1,8,0,2,1,casual,5
3/1/2022,2022,1,9,0,2,1,casual,8
3/1/2022,2022,1,10,0,2,1,casual,5
3/1/2022,2022,1,11,0,2,1,casual,12
3/1/2022,2022,1,12,0,2,1,casual,4
3/1/2022,2022,1,13,0,2,1,casual,5
3/1/2022,2022,1,14,0,2,1,casual,7
3/1/2022,2022,1,15,0,2,1,casual,9
3/1/2022,2022,1,16,0,2,1,casual,7
3/1/2022,2022,1,17,0,2,1,casual,4
